


0: sim executiontime 11.878 accumulatedSim 2.91892
main time tick: 12.5961

   0: sim executiontime 11.3324 accumulatedSim 2.83391
main time tick: 11.46

avg 12.2174
stdev 0.6559276408
   0: step 0 decision time 0.0107272
   0: step 1 decision time 0.00846672
   0: step 2 decision time 0.00921869
   0: step 3 decision time 0.00953269
   0: step 4 decision time 0.0088582
   0: step 5 decision time 0.00941992
   0: step 6 decision time 0.00896811
   0: step 7 decision time 0.00951433
   0: step 8 decision time 0.00887346
   0: step 9 decision time 0.00932789
   0: step 10 decision time 0.00987649
   0: step 11 decision time 0.00943828
   0: step 12 decision time 0.00914502
   0: step 13 decision time 0.00956035
   0: step 14 decision time 0.00879073
   0: step 15 decision time 0.00934172
   0: step 16 decision time 0.00884604
   0: step 17 decision time 0.00951695
   0: step 18 decision time 0.00882149
   0: step 19 decision time 0.00958252
   0: step 20 decision time 0.00889039
   0: step 21 decision time 0.00928307
   0: step 22 decision time 0.00879669
   0: step 23 decision time 0.00920677
   0: step 24 decision time 0.00922632
   0: step 25 decision time 0.00918937
   0: step 26 decision time 0.00877404
   0: step 27 decision time 0.00942469
   0: step 28 decision time 0.00944042
   0: step 29 decision time 0.00994587
   0: step 30 decision time 0.0380664
   0: step 31 decision time 0.0119209
   0: step 32 decision time 0.0370393
   0: step 33 decision time 0.0277686
   0: step 34 decision time 0.0130548
   0: step 35 decision time 0.0126643
   0: step 36 decision time 0.0259099
   0: step 37 decision time 0.0108099
   0: step 38 decision time 0.0190804
   0: step 39 decision time 0.0153189
