

0: sim executiontime 11.9305 accumulatedSim 2.95459
main time tick: 12.7884

 0: sim executiontime 12.1666 accumulatedSim 2.85787
 main time tick: 14.0753

 avg 13.21736667
 stdev 0.7429920614

  0: step 0 decision time 0.0427859
   0: step 1 decision time 0.00832033
   0: step 2 decision time 0.0093143
   0: step 3 decision time 0.00923777
   0: step 4 decision time 0.0091238
   0: step 5 decision time 0.00953889
   0: step 6 decision time 0.00886202
   0: step 7 decision time 0.00937772
   0: step 8 decision time 0.00860977
   0: step 9 decision time 0.00958681
   0: step 10 decision time 0.00890851
   0: step 11 decision time 0.00981355
   0: step 12 decision time 0.00848651
   0: step 13 decision time 0.00983024
   0: step 14 decision time 0.00864267
   0: step 15 decision time 0.00919104
   0: step 16 decision time 0.0086453
   0: step 17 decision time 0.00956655
   0: step 18 decision time 0.0083313
   0: step 19 decision time 0.00947309
   0: step 20 decision time 0.00877404
   0: step 21 decision time 0.00926089
   0: step 22 decision time 0.0085752
   0: step 23 decision time 0.00927591
   0: step 24 decision time 0.00869346
   0: step 25 decision time 0.00956511
   0: step 26 decision time 0.00865436
   0: step 27 decision time 0.00932598
   0: step 28 decision time 0.00887632
   0: step 29 decision time 0.0104997
   0: step 30 decision time 0.0374753
   0: step 31 decision time 0.0241311
   0: step 32 decision time 0.0260067
   0: step 33 decision time 0.0247519
   0: step 34 decision time 0.0102499
   0: step 35 decision time 0.00958824
   0: step 36 decision time 0.00903678
   0: step 37 decision time 0.00969291
   0: step 38 decision time 0.00944257
   0: step 39 decision time 0.00934863
