

   0: sim executiontime 10.1565 accumulatedSim 2.99084



   0: step 0 avg sim 0.0803845
   0: step 1 avg sim 0.0894639
   0: step 2 avg sim 0.0676279
   0: step 3 avg sim 0.0679369
   0: step 4 avg sim 0.0729885
   0: step 5 avg sim 0.0902781
   0: step 6 avg sim 0.0673387
   0: step 7 avg sim 0.0712817
   0: step 8 avg sim 0.0703371
   0: step 9 avg sim 0.0712504
   0: step 10 avg sim 0.0723162
   0: step 11 avg sim 0.0630953
   0: step 12 avg sim 0.0717385
   0: step 13 avg sim 0.0712082
   0: step 14 avg sim 0.0701244
   0: step 15 avg sim 0.0631266
   0: step 16 avg sim 0.0706444
   0: step 17 avg sim 0.071234
   0: step 18 avg sim 0.0711374
   0: step 19 avg sim 0.0713007
   0: step 20 avg sim 0.0715365
   0: step 21 avg sim 0.0713587
   0: step 22 avg sim 0.124587
   0: step 23 avg sim 0.0792744
   0: step 24 avg sim 0.0721831
   0: step 25 avg sim 0.0724268
   0: step 26 avg sim 0.0785534
   0: step 27 avg sim 0.0716712
   0: step 28 avg sim 0.0717814
   0: step 29 avg sim 0.0718169
   0: step 30 avg sim 0.0717931
   0: step 31 avg sim 0.0715852
   0: step 32 avg sim 0.0718813
   0: step 33 avg sim 0.0720127
   0: step 34 avg sim 0.0796039
   0: step 35 avg sim 0.079567
   0: step 36 avg sim 0.0802402
   0: step 37 avg sim 0.072572
   0: step 38 avg sim 0.0812528
   0: step 39 avg sim 0.0803294
