Al,0,0.144242,0.144053,0.145237,0.145996,0.582849,0.723086,0.869514,1.01466,1.01433,1.16772,1.61633,2.33858,2.60104,2.37873,5.76035,1.02464,0.874382,0.72666,0.580917,0.144614,0.145149,0.144818,0.143616,0.144698
S,0.969657,0.968415,0.969194,0.970899,0.970669,0.96964,0.989391,0.969113,0.972182,0.969858,0.993109,0.973837,0.971028,0.970412,0.968492,0.973527,0.977067,0.975497,0.975155,0.974559,0.981076,0.976878,0.977882,0.980264,0.973738
T,0.246761,0.0965655,0.197389,0.209533,0.127862,0.123555,0.0861712,0.175518,0.11531,0.101046,0.120343,0.175825,0.147472,0.231821,0.232926,0.209513,0.207771,0.184328,0.204795,0.225427,0.206419,0.173141,0.217605,0.214534,0.217757
W,0,2.554e-05,1.9655e-05,1.8177e-05,1.803e-05,1.9014e-05,1.8446e-05,2.0376e-05,2.0397e-05,1.837e-05,2.3116e-05,1.496e-05,1.9213e-05,1.0553e-05,1.2618e-05,9.899e-06,1.4834e-05,1.6147e-05,1.9412e-05,2.1596e-05,1.5684e-05,1.9604e-05,2.3659e-05,2.5105e-05,2.2351e-05


sim executiontime 31.6235
main time tick: 31.7834


